GO:0002090	Any process that modulates the frequency, rate or extent of receptor internalization.
GO:0048786	A specialized region of the plasma membrane and cell cortex of a presynaptic neuron; encompasses a region of the plasma membrane where synaptic vesicles dock and fuse, and a specialized cortical cytoskeletal matrix.
GO:0072659	A process in which a protein is transported to, or maintained in, a specific location in the plasma membrane.
GO:0035023	Any process that modulates the frequency, rate or extent of Rho protein signal transduction.
GO:0030864	The portion of the actin cytoskeleton, comprising filamentous actin and associated proteins, that lies just beneath the plasma membrane.
GO:0005769	A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways.
GO:0016324	The region of the plasma membrane located at the apical end of the cell.
GO:0035556	The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell.
GO:2000049	Any process that activates or increases the frequency, rate or extent of cell-cell adhesion mediated by cadherin.
GO:0022617	A process that results in the breakdown of the extracellular matrix.
GO:0005886	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.
GO:0045121	Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions.
GO:0005768	A vacuole to which materials ingested by endocytosis are delivered.
GO:0098793	The part of a synapse that is part of the presynaptic cell.
GO:0031410	A vesicle found in the cytoplasm of a cell.
GO:0007409	De novo generation of a long process of a neuron, including the terminal branched region. Refers to the morphogenesis or creation of shape or form of the developing axon, which carries efferent (outgoing) action potentials from the cell body towards target cells.
GO:0022409	Any process that activates or increases the rate or extent of cell adhesion to another cell.
GO:0042470	A tissue-specific, membrane-bounded cytoplasmic organelle within which melanin pigments are synthesized and stored. Melanosomes are synthesized in melanocyte cells.
GO:1901890	Any process that activates or increases the frequency, rate or extent of cell junction assembly.
GO:0098982	A synapse that uses GABA as a neurotransmitter. These synapses are typically inhibitory.
GO:0001931	A membrane projection with related cytoskeletal components at the trailing edge of a cell in the process of migrating or being activated, found on the opposite side of the cell from the leading edge or immunological synapse, respectively.
GO:0045807	Any process that activates or increases the frequency, rate or extent of endocytosis.
GO:0005925	A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ).
GO:0016020	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.
GO:0044857	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of plasma membrane rafts.
GO:0034451	A small (70-100 nm) cytoplasmic granule that contains a number of centrosomal proteins; centriolar satellites traffic toward microtubule minus ends and are enriched near the centrosome.
GO:0098978	A synapse that uses glutamate as a neurotransmitter.
GO:0005815	An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides.
GO:0032226	Any process that activates, maintains or increases the frequency, rate or extent of dopaminergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter dopamine.
GO:0051580	Any process that modulates the frequency, rate or extent of the directed movement of a neurotransmitter into a neuron or glial cell.
GO:0016323	The region of the plasma membrane that includes the basal end and sides of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis.
GO:0009897	The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface.
GO:1901741	Any process that activates or increases the frequency, rate or extent of myoblast fusion.
GO:0070836	The aggregation, arrangement and bonding together of a set of components to form a caveola. A caveola is a plasma membrane raft that forms a small pit, depression, or invagination that communicates with the outside of a cell and extends inward, indenting the cytoplasm and the cell membrane.
GO:0005901	A membrane raft that forms small pit, depression, or invagination that communicates with the outside of a cell and extends inward, indenting the cytoplasm and the cell membrane. Examples include flask-shaped invaginations of the plasma membrane in adipocytes associated with caveolin proteins, and minute pits or incuppings of the cell membrane formed during pinocytosis. Caveolae may be pinched off to form free vesicles within the cytoplasm.
GO:0008180	A protein complex that catalyzes the deneddylation of proteins, including the cullin component of SCF ubiquitin E3 ligase; deneddylation increases the activity of cullin family ubiquitin ligases. The signalosome is involved in many regulatory process, including some which control development, in many species; also regulates photomorphogenesis in plants; in many species its subunits are highly similar to those of the proteasome.
GO:0005912	A cell-cell junction composed of the epithelial cadherin-catenin complex. The epithelial cadherins, or E-cadherins, of each interacting cell extend through the plasma membrane into the extracellular space and bind to each other. The E-cadherins bind to catenins on the cytoplasmic side of the membrane, where the E-cadherin-catenin complex binds to cytoskeletal components and regulatory and signaling molecules.
GO:0044291	Extended zone of intimate apposition between two cells containing one or more types of intercellular junctions, e.g., the intercalated disk of muscle.
GO:0043123	Any process that activates or increases the frequency, rate or extent of a canonical NF-kappaB signaling cascade.
