GO:1903421	Any process that modulates the frequency, rate or extent of synaptic vesicle recycling.
GO:0030517	Any process that stops, prevents, or reduces the frequency, rate or extent of axon outgrowth.
GO:0046826	Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of proteins from the nucleus into the cytoplasm.
GO:0005737	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.
GO:0000307	Cyclin-dependent protein kinases (CDKs) are enzyme complexes that contain a kinase catalytic subunit associated with a regulatory cyclin partner.
GO:0030054	A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella.
GO:0045202	The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane.
GO:0045956	Any process that activates or increases the frequency, rate or extent of calcium ion-dependent exocytosis.
GO:0030175	Thin, stiff, actin-based protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal or dendritic growth cone, or a dendritic shaft.
GO:0031397	Any process that stops, prevents, or reduces the frequency, rate or extent of the addition of ubiquitin groups to a protein.
GO:0016740	Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.
GO:0004674	Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.
GO:0016301	Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.
GO:0021766	The progression of the hippocampus over time from its initial formation until its mature state.
GO:0048156	Binding to tau protein. tau is a microtubule-associated protein, implicated in Alzheimer's disease, Down Syndrome and ALS.
GO:0042220	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cocaine stimulus. Cocaine is a crystalline alkaloid obtained from the leaves of the coca plant.
GO:0032801	The chemical reactions and pathways resulting in the breakdown of a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.
GO:0000166	Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.
GO:0021537	The process whose specific outcome is the progression of the telencephalon over time, from its formation to the mature structure. The telencephalon is the paired anteriolateral division of the prosencephalon plus the lamina terminalis from which the olfactory lobes, cerebral cortex, and subcortical nuclei are derived.
GO:0016079	Fusion of intracellular membrane-bounded vesicles with the pre-synaptic membrane of the neuronal cell resulting in release of neurotransmitter into the synaptic cleft.
GO:0007409	De novo generation of a long process of a neuron, including the terminal branched region. Refers to the morphogenesis or creation of shape or form of the developing axon, which carries efferent (outgoing) action potentials from the cell body towards target cells.
GO:0021695	The process whose specific outcome is the progression of the cerebellar cortex over time, from its formation to the mature structure. The cerebellar cortex is a thin mantle of gray matter that covers the surface of each cerebral hemisphere. It has a characteristic morphology with convolutions (gyri) and crevices (sulci) that have specific functions. Six layers of nerve cells and the nerve pathways that connect them comprise the cerebellar cortex. Together, these regions are responsible for the processes of conscious thought, perception, emotion and memory as well as advanced motor function.
GO:0048148	Any process that results in a change in the behavior of an organism as a result of a cocaine stimulus.
GO:0016477	The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues.
GO:0030182	The process in which a relatively unspecialized cell acquires specialized features of a neuron.
GO:0007519	The developmental sequence of events leading to the formation of adult skeletal muscle tissue. The main events are: the fusion of myoblasts to form myotubes that increase in size by further fusion to them of myoblasts, the formation of myofibrils within their cytoplasm and the establishment of functional neuromuscular junctions with motor neurons. At this stage they can be regarded as mature muscle fibers.
GO:0030549	Interacting (directly or indirectly) with acetylcholine receptors such that the proportion of receptors in the active form is increased.
GO:0021954	The process whose specific outcome is the progression of a neuron whose cell body is located in the central nervous system, from initial commitment of the cell to a neuronal fate, to the fully functional differentiated neuron.
GO:0031914	A process that decreases synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers.
GO:0048675	Long distance growth of a single axon process involved in cellular development.
GO:1903076	Any process that modulates the frequency, rate or extent of protein localization to plasma membrane.
GO:0060078	Any process that modulates the potential difference across a post-synaptic membrane.
GO:0042981	Any process that modulates the occurrence or rate of cell death by apoptotic process.
GO:0090314	Any process that increases the frequency, rate or extent of the process of directing proteins towards a membrane, usually using signals contained within the protein.
GO:0007160	The binding of a cell to the extracellular matrix via adhesion molecules.
GO:0021697	The process that gives rise to the cerebellar cortex. This process pertains to the initial formation of a structure from unspecified parts. The cerebellar cortex is a thin mantle of gray matter that covers the surface of each cerebral hemisphere. It has a characteristic morphology with convolutions (gyri) and crevices (sulci) that have specific functions. Six layers of nerve cells and the nerve pathways that connect them comprise the cerebellar cortex. Together, these regions are responsible for the processes of conscious thought, perception, emotion and memory as well as advanced motor function.
GO:1903234	Any process that stops, prevents or reduces the frequency, rate or extent of calcium ion-dependent exocytosis of neurotransmitter.
GO:0048167	A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers.
GO:0051649	Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation.
GO:0045786	Any process that stops, prevents or reduces the rate or extent of progression through the cell cycle.
GO:0005829	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.
GO:0043204	The portion of the cell soma (neuronal cell body) that excludes the nucleus.
GO:0043113	The receptor metabolic process that results in grouping of a set of receptors at a cellular location, often to amplify the sensitivity of a signaling response.
GO:0008542	Any process in an organism in which a change in behavior of an individual occurs in response to repeated exposure to a visual cue.
GO:0051726	Any process that modulates the rate or extent of progression through the cell cycle.
GO:0005634	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.
GO:0030425	A neuron projection that has a short, tapering, morphology. Dendrites receive and integrate signals from other neurons or from sensory stimuli, and conduct nerve impulses towards the axon or the cell body. In most neurons, the impulse is conveyed from dendrites to axon via the cell body, but in some types of unipolar neuron, the impulse does not travel via the cell body.
GO:0021987	The progression of the cerebral cortex over time from its initial formation until its mature state. The cerebral cortex is the outer layered region of the telencephalon.
GO:0031175	The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites).
GO:0043025	The portion of a neuron that includes the nucleus, but excludes cell projections such as axons and dendrites.
GO:0030547	Binds to and modulates the activity of a signaling receptor.
GO:0051966	Any process that modulates the frequency, rate or extent of glutamatergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter glutamate.
GO:0006886	The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.
GO:0043125	Binding to the protein-tyrosine kinase receptor ErbB-3/HER3.
GO:0070509	The directed movement of calcium ions into a cell or organelle.
GO:0016241	Any process that modulates the frequency, rate or extent of macroautophagy.
GO:0043525	Any process that activates or increases the frequency, rate or extent of cell death of neurons by apoptotic process.
GO:0007268	The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse.
GO:0048709	The process in which a relatively unspecialized cell acquires the specialized features of an oligodendrocyte. An oligodendrocyte is a type of glial cell involved in myelinating the axons of neurons in the central nervous system.
GO:0051879	Binding to Hsp90 proteins, any of a group of heat shock proteins around 90kDa in size.
GO:0007416	The aggregation, arrangement and bonding together of a set of components to form a synapse. This process ends when the synapse is mature (functional).
GO:0000226	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins.
GO:0006915	A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died.
GO:0048488	A vesicle-mediated transport process, in which the synaptic vesicle membrane constituents are retrieved from the presynaptic membrane on the axon terminal after neurotransmitter secretion by exocytosis. Synaptic vesicle endocytosis can occur via clathrin-dependent and clathrin-independent mechanisms.
GO:0014069	An electron dense network of proteins within and adjacent to the postsynaptic membrane of an asymmetric, neuron-neuron synapse. Its major components include neurotransmitter receptors and the proteins that spatially and functionally organize them such as anchoring and scaffolding molecules, signaling enzymes and cytoskeletal components.
GO:0019233	The series of events required for an organism to receive a painful stimulus, convert it to a molecular signal, and recognize and characterize the signal. Pain is medically defined as the physical sensation of discomfort or distress caused by injury or illness, so can hence be described as a harmful stimulus which signals current (or impending) tissue damage. Pain may come from extremes of temperature, mechanical damage, electricity or from noxious chemical substances. This is a neurological process.
GO:0007399	The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.
GO:0005176	Binding to a protein-tyrosine kinase receptor Neu/ErbB-2/HER2.
GO:0005654	That part of the nuclear content other than the chromosomes or the nucleolus.
GO:0008045	The process in which the migration of an axon growth cone of a motor neuron is directed to a specific target site in response to a combination of attractive and repulsive cues.
GO:0042995	A prolongation or process extending from a cell, e.g. a flagellum or axon.
GO:0050321	Catalysis of the reaction: ATP + tau-protein = ADP + O-phospho-tau-protein on serine and threonine residues.
GO:0098793	The part of a synapse that is part of the presynaptic cell.
GO:0021549	The process whose specific outcome is the progression of the cerebellum over time, from its formation to the mature structure. The cerebellum is the portion of the brain in the back of the head between the cerebrum and the pons. In mice, the cerebellum controls balance for walking and standing, modulates the force and range of movement and is involved in the learning of motor skills.
GO:0004693	Cyclin-dependent catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.
GO:0005524	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.
GO:0004672	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.
GO:0030900	The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions).
GO:0045892	Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.
GO:0035249	The vesicular release of glutamate from a presynapse, across a chemical synapse, the subsequent activation of glutamate receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse.
GO:0048511	Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism.
GO:0008017	Binding to a microtubule, a filament composed of tubulin monomers.
GO:0005874	Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.
GO:0045861	Any process that stops, prevents, or reduces the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein.
